Level,Category,Sentence
C2,ADJECTIVES/combining,"In the increasingly materialistic, greedy and shallow society we live in today, it would almost seem that there are no disadvantages to being rich."
C2,ADJECTIVES/combining,"A diligent, hardworking, dedicated, passionate and ambitious student will always excel in their studies, regardless of the challenges they face."
C2,ADJECTIVES/combining,"The ancient, crumbling, ivy-covered, derelict and haunted mansion on the hill has long been a subject of local folklore and mystery."
C2,ADJECTIVES/combining,"A kind, generous, thoughtful, caring and compassionate individual will always find ways to make a positive impact on the lives of those around them."
C2,ADJECTIVES/combining,"The modern, sleek, minimalist, functional and stylish apartment was the perfect blend of form and function for the young professional couple."
C2,ADJECTIVES/combining,"An experienced, knowledgeable, insightful, empathetic and patient teacher can make a significant difference in the lives of their students."
C2,ADJECTIVES/combining,"The vast, expansive, rolling, green and lush countryside was a stark contrast to the bustling, crowded and noisy cityscape they had just left behind."
C2,ADJECTIVES/combining,"A creative, innovative, resourceful, imaginative and visionary entrepreneur can turn even the most challenging ideas into successful businesses."
C2,ADJECTIVES/combining,"The warm, inviting, cozy, comfortable and welcoming atmosphere of the small family-run café made it a favorite spot for locals and tourists alike."
C2,ADJECTIVES/combining,"Adventurous, curious, and determined, she embarked on a journey around the world."
C2,ADJECTIVES/combining,"Intelligent, resourceful, and brave, he solved the complex puzzle with ease."
C2,ADJECTIVES/combining,"Energetic, enthusiastic, and passionate, the team worked tirelessly to achieve their goals."
C2,ADJECTIVES/combining,"Playful, mischievous, and clever, the kitten kept the family entertained for hours."
C2,ADJECTIVES/combining,"Generous, kind-hearted, and compassionate, she donated to numerous charities."
C2,ADJECTIVES/combining,"Creative, innovative, and visionary, the artist's work was highly acclaimed."
C2,ADJECTIVES/combining,"Patient, diligent, and meticulous, the researcher uncovered groundbreaking findings."
C2,ADJECTIVES/combining,"Confident, articulate, and persuasive, the speaker captivated the audience."
C2,ADJECTIVES/combining,"Loyal, trustworthy, and dependable, he was the go-to person for advice."
C2,ADJECTIVES/combining,"Optimistic, resilient, and tenacious, she overcame every obstacle in her path."
A2,ADJECTIVES/comparatives,The cat is faster than the dog.
A2,ADJECTIVES/comparatives,This chair is taller than that one.
A2,ADJECTIVES/comparatives,The apple is sweeter than the orange.
A2,ADJECTIVES/comparatives,She is happier than her sister.
A2,ADJECTIVES/comparatives,The river is deeper than the pond.
A2,ADJECTIVES/comparatives,The car is newer than the bike.
A2,ADJECTIVES/comparatives,The cake is bigger than the cookie.
A2,ADJECTIVES/comparatives,The sun is brighter than the moon.
A2,ADJECTIVES/comparatives,The dog was happier after it found its favorite toy.
A2,ADJECTIVES/comparatives,The baby was sleepier after a long day at the park.
A2,ADJECTIVES/comparatives,The flowers were prettier with the morning dew on them.
A2,ADJECTIVES/comparatives,The cake was sweeter than the one we had last week.
A2,ADJECTIVES/comparatives,The weather was cooler after the rain stopped.
A2,ADJECTIVES/comparatives,The book was funnier than the movie version.
A2,ADJECTIVES/comparatives,The lake was quieter in the early morning.
A2,ADJECTIVES/comparatives,The house was tidier after the big cleaning.
A2,ADJECTIVES/comparatives,I bought a bigger house last year.
A2,ADJECTIVES/comparatives,She has a more expensive car than me.
A2,ADJECTIVES/comparatives,He bought a newer phone yesterday.
A2,ADJECTIVES/comparatives,They live in a smaller apartment now.
A2,ADJECTIVES/comparatives,We saw a taller building downtown.
A2,ADJECTIVES/comparatives,She wore a prettier dress to the party.
A2,ADJECTIVES/comparatives,He has a faster computer at work.
A2,ADJECTIVES/comparatives,They bought a larger TV for the living room.
A2,ADJECTIVES/comparatives,She bought a more comfortable chair for her office.
A2,ADJECTIVES/comparatives,He has a longer commute than I do.
A2,ADJECTIVES/comparatives,The weather is nicer today than yesterday.
A2,ADJECTIVES/comparatives,She is taller than her brother.
A2,ADJECTIVES/comparatives,This book is more interesting than the last one.
A2,ADJECTIVES/comparatives,The blue dress is prettier than the red one.
A2,ADJECTIVES/comparatives,He is happier now than he was before.
A2,ADJECTIVES/comparatives,The new car is faster than the old one.
A2,ADJECTIVES/comparatives,The green apple is sweeter than the red one.
A2,ADJECTIVES/comparatives,The movie is more exciting than the book.
A2,ADJECTIVES/comparatives,The yellow house is bigger than the blue one.
A2,ADJECTIVES/comparatives,The chocolate cake is tastier than the vanilla one.
A2,ADJECTIVES/comparatives,"The rooms are all very beautiful, but I prefer my room because it is bigger."
A2,ADJECTIVES/comparatives,I bought lots of T-shirts because the weather is getting hotter.
A2,ADJECTIVES/comparatives,The first apple is sweeter than the second one.
A2,ADJECTIVES/comparatives,She ran faster than her brother in the race.
A2,ADJECTIVES/comparatives,The baby is sleeping in a darker room.
A2,ADJECTIVES/comparatives,The old car is slower than the new one.
A2,ADJECTIVES/comparatives,The first cake is thicker than the second one.
A2,ADJECTIVES/comparatives,The younger sister is taller than the older one.
A2,ADJECTIVES/comparatives,The first toy is cheaper than the second one.
A2,ADJECTIVES/comparatives,The first book is thicker than the second one.
A2,ADJECTIVES/comparatives,I think it will be nicer.
A2,ADJECTIVES/comparatives,"You can come by boat, but I prefer to come by aeroplane because it is safer."
A2,ADJECTIVES/comparatives,The blue car is larger than the red one.
A2,ADJECTIVES/comparatives,She is braver than her sister.
A2,ADJECTIVES/comparatives,This apple is sweeter than that one.
A2,ADJECTIVES/comparatives,The green shirt is cheaper than the blue one.
A2,ADJECTIVES/comparatives,He is taller than his brother.
A2,ADJECTIVES/comparatives,The yellow house is smaller than the white one.
A2,ADJECTIVES/comparatives,She is kinder than her friend.
A2,ADJECTIVES/comparatives,The black cat is faster than the white one.
A2,ADJECTIVES/comparatives,My car is older than yours.
A2,ADJECTIVES/comparatives,She is happier today than yesterday.
A2,ADJECTIVES/comparatives,This book is more interesting than that one.
A2,ADJECTIVES/comparatives,He is taller than his brother.
A2,ADJECTIVES/comparatives,The weather is worse than it was last week.
A2,ADJECTIVES/comparatives,Her dress is prettier than mine.
A2,ADJECTIVES/comparatives,This task is harder than the last one.
A2,ADJECTIVES/comparatives,His explanation is clearer than hers.
A2,ADJECTIVES/comparatives,The new restaurant is better than the old one.
A2,ADJECTIVES/comparatives,The movie was more exciting than I expected.
A2,ADJECTIVES/comparatives,She is more beautiful than her sister.
A2,ADJECTIVES/comparatives,The movie was more interesting than the book.
A2,ADJECTIVES/comparatives,He was more intelligent than his classmates.
A2,ADJECTIVES/comparatives,The new phone is more advanced than the old one.
A2,ADJECTIVES/comparatives,This restaurant is more popular than the one downtown.
A2,ADJECTIVES/comparatives,The new software is more efficient than the previous version.
A2,ADJECTIVES/comparatives,Her dress is more elegant than mine.
A2,ADJECTIVES/comparatives,The new car is more comfortable than the old one.
A2,ADJECTIVES/comparatives,The concert was more exciting than I expected.
A2,ADJECTIVES/comparatives,The new school is more modern than the old one.
A2,ADJECTIVES/comparatives,My new car is faster than my old car.
A2,ADJECTIVES/comparatives,Her house is bigger than mine.
A2,ADJECTIVES/comparatives,This movie is more exciting than the last one.
A2,ADJECTIVES/comparatives,The red dress is prettier than the blue one.
A2,ADJECTIVES/comparatives,His English is better than hers.
A2,ADJECTIVES/comparatives,This book is more difficult than the one I read last week.
A2,ADJECTIVES/comparatives,The chocolate cake is tastier than the vanilla one.
A2,ADJECTIVES/comparatives,The park near my house is quieter than the one downtown.
A2,ADJECTIVES/comparatives,Her garden is more colorful than his.
A2,ADJECTIVES/comparatives,The new laptop is lighter than the old one.
B1,ADJECTIVES/comparatives,The weather today is so much nicer than yesterday.
B1,ADJECTIVES/comparatives,The new car is much faster than the old one.
B1,ADJECTIVES/comparatives,Her cooking is much tastier than mine.
B1,ADJECTIVES/comparatives,The new phone is so much lighter than the old one.
B1,ADJECTIVES/comparatives,The movie was much more interesting than the book.
B1,ADJECTIVES/comparatives,The new restaurant is so much more expensive than the old one.
B1,ADJECTIVES/comparatives,The new apartment is much quieter than the old one.
B1,ADJECTIVES/comparatives,The new shoes are so much more comfortable than the old ones.
B1,ADJECTIVES/comparatives,He's a bit taller than his brother.
B1,ADJECTIVES/comparatives,The weather is a little bit colder today.
B1,ADJECTIVES/comparatives,This book is a bit more interesting than the last one.
B1,ADJECTIVES/comparatives,She's a little bit smarter than her classmates.
B1,ADJECTIVES/comparatives,The movie was a bit scarier than I expected.
B1,ADJECTIVES/comparatives,His car is a little bit faster than mine.
B1,ADJECTIVES/comparatives,The test was a bit harder than usual.
B1,ADJECTIVES/comparatives,She's a little bit more patient than he is.
B1,ADJECTIVES/comparatives,The restaurant is a bit more expensive than the one down the street.
B1,ADJECTIVES/comparatives,The new model is a little bit better than the previous one.
B1,ADJECTIVES/comparatives,I noticed the weather getting colder and colder.
B1,ADJECTIVES/comparatives,The situation became more and more complicated.
B1,ADJECTIVES/comparatives,"As the years passed, she became happier and happier."
B1,ADJECTIVES/comparatives,The noise from the construction site got louder and louder.
B1,ADJECTIVES/comparatives,The pile of work on my desk grew bigger and bigger.
B1,ADJECTIVES/comparatives,The traffic during rush hour became heavier and heavier.
B1,ADJECTIVES/comparatives,The cost of living is rising higher and higher.
B1,ADJECTIVES/comparatives,Her excitement for the trip grew stronger and stronger.
B1,ADJECTIVES/comparatives,The distance between us seemed to get farther and farther.
B1,ADJECTIVES/comparatives,The list of tasks to complete kept getting longer and longer.
B1,ADJECTIVES/comparatives,"The movie last night was good, but the one tonight is even better."
B1,ADJECTIVES/comparatives,"After the rain stopped, the sky got even bluer."
B1,ADJECTIVES/comparatives,"Her new book is interesting, but the last one was even more exciting."
B1,ADJECTIVES/comparatives,"The second half of the game was intense, but the final moments were even more thrilling."
B1,ADJECTIVES/comparatives,"My headache was bad, but it got even worse after the meeting."
B1,ADJECTIVES/comparatives,"His cooking skills improved, and now his dishes are even tastier."
B1,ADJECTIVES/comparatives,"The second season of the show was good, but the third season was even better."
B1,ADJECTIVES/comparatives,"The weather was cold, but it became even colder overnight."
B1,ADJECTIVES/comparatives,"The first day of the trip was fun, but the second day was even more enjoyable."
B1,ADJECTIVES/comparatives,"The new model of the car is nice, but the latest one is even nicer."
B2,ADJECTIVES/comparatives,The weather today is a lot warmer than yesterday.
B2,ADJECTIVES/comparatives,Her new apartment is a lot bigger than her old one.
B2,ADJECTIVES/comparatives,This movie is a lot more interesting than the last one I watched.
B2,ADJECTIVES/comparatives,The new model is a lot faster than the previous version.
B2,ADJECTIVES/comparatives,Traveling by train is a lot more comfortable than driving.
B2,ADJECTIVES/comparatives,His explanation was a lot clearer than hers.
B2,ADJECTIVES/comparatives,The new software is a lot more user-friendly than the old one.
B2,ADJECTIVES/comparatives,Her performance was a lot better than expected.
B2,ADJECTIVES/comparatives,The final product is a lot more polished than the prototype.
B2,ADJECTIVES/comparatives,I think the new model has much better features than the old one.
B2,ADJECTIVES/comparatives,The weather today is much warmer than it was yesterday.
B2,ADJECTIVES/comparatives,She is a much more talented singer than I am.
B2,ADJECTIVES/comparatives,This restaurant offers much tastier food than the one we went to last week.
B2,ADJECTIVES/comparatives,The updated software has much more functionality than the previous version.
B2,ADJECTIVES/comparatives,His new car is much faster than his old one.
B2,ADJECTIVES/comparatives,The revised plan is much more efficient than the original.
B2,ADJECTIVES/comparatives,This book is much more interesting than the one I read last month.
B2,ADJECTIVES/comparatives,The new apartment is much larger than our old one.
B2,ADJECTIVES/comparatives,The latest version of the game has much better graphics than the earlier editions.
B2,ADJECTIVES/comparatives,I found that the blue dress was slightly more expensive than the red one.
B2,ADJECTIVES/comparatives,The new version of the software is slightly faster than the previous one.
B2,ADJECTIVES/comparatives,The weather today is slightly warmer compared to yesterday.
B2,ADJECTIVES/comparatives,The green apple is slightly sweeter than the red one.
B2,ADJECTIVES/comparatives,The movie sequel was slightly more interesting than the original.
B2,ADJECTIVES/comparatives,The second floor is slightly quieter than the first floor.
B2,ADJECTIVES/comparatives,The new model car is slightly more fuel-efficient than the old one.
B2,ADJECTIVES/comparatives,The book was slightly more challenging than I expected.
B2,ADJECTIVES/comparatives,The second option is slightly more convenient than the first one.
C2,ADJECTIVES/comparatives,She felt no better than she had before the treatment.
C2,ADJECTIVES/comparatives,The new model is not any faster than the old one.
C2,ADJECTIVES/comparatives,He was no taller than his younger brother.
C2,ADJECTIVES/comparatives,The situation is not any worse than it was last year.
C2,ADJECTIVES/comparatives,The book is no more interesting than the last one I read.
C2,ADJECTIVES/comparatives,They were not any more prepared than we were.
C2,ADJECTIVES/comparatives,The weather is no colder than it was in January.
C2,ADJECTIVES/comparatives,The results were not any more impressive than expected.
C2,ADJECTIVES/comparatives,The quality of the product is no better than what we had before.
C2,ADJECTIVES/comparatives,The journey was not any longer than we anticipated.
C2,ADJECTIVES/comparatives,"Although he is not that much taller than his brother, he still has a significant height advantage."
C2,ADJECTIVES/comparatives,"The new model is not that much more expensive than the previous one, so it's worth the upgrade."
C2,ADJECTIVES/comparatives,"She is not that much better at singing than her sister, but she practices more often."
C2,ADJECTIVES/comparatives,"The revised version is not that much more user-friendly than the original, so some users might not notice the difference."
C2,ADJECTIVES/comparatives,"He is not that much faster than the other runners, but his consistency gives him an edge."
C2,ADJECTIVES/comparatives,"The updated software is not that much more efficient than the old version, but it does have some new features."
C2,ADJECTIVES/comparatives,"She is not that much more experienced than her colleagues, but her insights are valuable."
C2,ADJECTIVES/comparatives,"The new car is not that much more fuel-efficient than the old one, but it does have better safety features."
C2,ADJECTIVES/comparatives,"He is not that much more knowledgeable than the rest of the team, but his enthusiasm makes up for it."
A1,ADJECTIVES/modifying,The weather is very hot today.
A1,ADJECTIVES/modifying,She has a very big house.
A1,ADJECTIVES/modifying,He is very tall.
A1,ADJECTIVES/modifying,The park is very beautiful.
A1,ADJECTIVES/modifying,The movie was very interesting.
A1,ADJECTIVES/modifying,The food is very delicious.
A1,ADJECTIVES/modifying,The book is very long.
A1,ADJECTIVES/modifying,The car is very fast.
A2,ADJECTIVES/modifying,It was sunny and really hot every day!
A2,ADJECTIVES/modifying,I'm so happy because we can have a party for my birthday together!
A2,ADJECTIVES/modifying,They are quite expensive.
A2,ADJECTIVES/modifying,The movie was really interesting.
A2,ADJECTIVES/modifying,She is so beautiful.
A2,ADJECTIVES/modifying,The book was quite boring.
A2,ADJECTIVES/modifying,He was really tired after the long journey.
A2,ADJECTIVES/modifying,The food was so delicious.
A2,ADJECTIVES/modifying,The weather is quite cold today.
A2,ADJECTIVES/modifying,She is really smart.
A2,ADJECTIVES/modifying,The book is interesting for children.
A2,ADJECTIVES/modifying,The movie was boring for teenagers.
A2,ADJECTIVES/modifying,The cake is delicious for everyone.
A2,ADJECTIVES/modifying,The park is beautiful for walking.
A2,ADJECTIVES/modifying,The game is fun for all ages.
A2,ADJECTIVES/modifying,The food is spicy for some people.
A2,ADJECTIVES/modifying,The song is catchy for young listeners.
A2,ADJECTIVES/modifying,The dress is pretty for a party.
A2,ADJECTIVES/modifying,She is too tired to go out tonight.
A2,ADJECTIVES/modifying,The coffee was too hot to drink.
A2,ADJECTIVES/modifying,The movie was too long for my taste.
A2,ADJECTIVES/modifying,The room was too dark to read in.
A2,ADJECTIVES/modifying,The shoes were too tight for me.
A2,ADJECTIVES/modifying,The music was too loud for the baby to sleep.
A2,ADJECTIVES/modifying,The cake was too sweet for my liking.
A2,ADJECTIVES/modifying,The car was too big to fit in the garage.
A2,ADJECTIVES/modifying,She was too tired after the long trip.
A2,ADJECTIVES/modifying,The movie was too boring for me.
A2,ADJECTIVES/modifying,The book was too difficult for her.
A2,ADJECTIVES/modifying,The dress was too big for the little girl.
A2,ADJECTIVES/modifying,The food was too spicy for my taste.
A2,ADJECTIVES/modifying,The room was too cold for him.
A2,ADJECTIVES/modifying,The shoes were too tight for her feet.
A2,ADJECTIVES/modifying,The test was too easy for him.
A2,ADJECTIVES/modifying,The music was too loud for the baby.
B1,ADJECTIVES/modifying,the very important meeting is at 10.15 am.
B1,ADJECTIVES/modifying,really good friends are hard to find.
B1,ADJECTIVES/modifying,a very interesting book caught my eye.
B1,ADJECTIVES/modifying,the extremely cold weather made us stay indoors.
B1,ADJECTIVES/modifying,a really nice restaurant offered us a discount.
B1,ADJECTIVES/modifying,the very old building needs renovation.
B1,ADJECTIVES/modifying,a highly skilled worker fixed the problem quickly.
B1,ADJECTIVES/modifying,the extremely busy schedule left no time for rest.
B1,ADJECTIVES/modifying,a really big dog scared the little children.
B1,ADJECTIVES/modifying,the very happy couple celebrated their anniversary.
B1,ADJECTIVES/modifying,The weather was warm enough for us to have a picnic.
B1,ADJECTIVES/modifying,She is smart enough to solve the problem on her own.
B1,ADJECTIVES/modifying,The coffee was hot enough to burn my tongue.
B1,ADJECTIVES/modifying,The car is fast enough to keep up with traffic.
B1,ADJECTIVES/modifying,The book is interesting enough to keep me engaged.
B1,ADJECTIVES/modifying,The room is quiet enough for me to concentrate.
B1,ADJECTIVES/modifying,The food is spicy enough to add flavor without being overwhelming.
B1,ADJECTIVES/modifying,The dress is long enough to cover my knees.
B1,ADJECTIVES/modifying,The movie is funny enough to make me laugh out loud.
B1,ADJECTIVES/modifying,I have been thinking about your last letter for quite a long time and I came to the following conclusion.
B1,ADJECTIVES/modifying,This is quite a difficult situation you have.
B1,ADJECTIVES/modifying,I personally think going to a large school is quite a good idea.
B1,ADJECTIVES/modifying,She is quite a talented artist.
B1,ADJECTIVES/modifying,It was quite a hot day yesterday.
B1,ADJECTIVES/modifying,He has quite a busy schedule this week.
B1,ADJECTIVES/modifying,That was quite a funny joke.
B1,ADJECTIVES/modifying,She wore quite a beautiful dress to the party.
B1,ADJECTIVES/modifying,It was quite a challenging project.
B1,ADJECTIVES/modifying,They live in quite a nice neighborhood.
B1,ADJECTIVES/modifying,She was too tired to finish her homework.
B1,ADJECTIVES/modifying,The box was too heavy to lift by myself.
B1,ADJECTIVES/modifying,The movie was too scary to watch alone.
B1,ADJECTIVES/modifying,The water was too cold to swim in.
B1,ADJECTIVES/modifying,The book was too difficult to read in one sitting.
B1,ADJECTIVES/modifying,The restaurant was too crowded to find a seat.
B1,ADJECTIVES/modifying,The car was too expensive to buy outright.
B1,ADJECTIVES/modifying,The noise was too loud to concentrate on work.
B1,ADJECTIVES/modifying,The cake was too sweet to eat more than one piece.
B2,ADJECTIVES/modifying,I was strong enough to lift the heavy box by myself.
B2,ADJECTIVES/modifying,She was smart enough to solve the difficult problem quickly.
B2,ADJECTIVES/modifying,They were brave enough to face their fears head-on.
B2,ADJECTIVES/modifying,He was tall enough to reach the top shelf without a ladder.
B2,ADJECTIVES/modifying,She was patient enough to wait for the perfect moment.
B2,ADJECTIVES/modifying,They were kind enough to offer their help to those in need.
B2,ADJECTIVES/modifying,He was lucky enough to find a job right after graduation.
B2,ADJECTIVES/modifying,She was creative enough to come up with a unique solution.
B2,ADJECTIVES/modifying,They were careful enough to avoid any accidents during the trip.
B2,ADJECTIVES/modifying,He was generous enough to share his lunch with his friends.
B2,ADJECTIVES/modifying,"The opera was rather a sophisticated performance, not for the faint-hearted."
B2,ADJECTIVES/modifying,"She was rather a shy person, rarely speaking in large groups."
B2,ADJECTIVES/modifying,"The lecture was rather a complex topic, requiring careful attention."
B2,ADJECTIVES/modifying,"His explanation was rather a convoluted one, leaving many confused."
B2,ADJECTIVES/modifying,"The hotel was rather a luxurious stay, with all the amenities one could wish for."
B2,ADJECTIVES/modifying,"The assignment was rather a challenging task, pushing us to our limits."
B2,ADJECTIVES/modifying,"The movie was rather a disappointing experience, not living up to the hype."
B2,ADJECTIVES/modifying,"The garden was rather a peaceful place, perfect for a quiet afternoon."
B2,ADJECTIVES/modifying,"The debate was rather a heated discussion, with strong opinions on both sides."
B2,ADJECTIVES/modifying,"The journey was rather a long one, taking several hours by train."
C1,ADJECTIVES/modifying,She was absolutely exhausted after the long hike.
C1,ADJECTIVES/modifying,"The movie was incredibly entertaining, and I totally recommend it."
C1,ADJECTIVES/modifying,"His performance was extremely impressive, and everyone was in awe."
C1,ADJECTIVES/modifying,"The weather was incredibly cold, making it totally unbearable to stay outside."
C1,ADJECTIVES/modifying,"The book was absolutely fascinating, and I couldn't put it down."
C1,ADJECTIVES/modifying,"The results were extremely disappointing, and I felt totally let down."
C1,ADJECTIVES/modifying,"The food was incredibly delicious, and I totally enjoyed every bite."
C1,ADJECTIVES/modifying,"The situation was absolutely chaotic, and I felt totally overwhelmed."
C1,ADJECTIVES/modifying,"The concert was extremely enjoyable, and I had an incredibly great time."
C1,ADJECTIVES/modifying,"The project was absolutely successful, and we totally met our goals."
C2,ADJECTIVES/modifying,"The weather was as cold as the Arctic, making it nearly impossible to venture outside."
C2,ADJECTIVES/modifying,She was so talented that she could play any instrument with ease.
C2,ADJECTIVES/modifying,"The coffee was as strong as I needed it to be, giving me the energy boost I craved."
C2,ADJECTIVES/modifying,His dedication was so intense that he often worked 18-hour days without rest.
C2,ADJECTIVES/modifying,"The book was as captivating as the reviews had promised, keeping me up all night."
C2,ADJECTIVES/modifying,The hike was so challenging that it took us twice as long as we had anticipated.
C2,ADJECTIVES/modifying,"Her kindness was as genuine as her smile, making everyone feel at ease around her."
C2,ADJECTIVES/modifying,The storm was so fierce that it knocked down trees and power lines across the city.
